Run,P,N,px,py,pz,Time(s)
1,32,120,4,4,2,1.611055
2,32,120,4,4,2,1.613217
3,32,120,4,4,2,1.619424
4,32,120,4,4,2,1.721041
5,32,120,4,4,2,1.610399
1,48,120,6,4,2,1.842017
2,48,120,6,4,2,1.833142
3,48,120,6,4,2,1.841732
4,48,120,6,4,2,1.837319
5,48,120,6,4,2,1.849017
1,64,120,4,4,4,1.867308
2,64,120,4,4,4,1.850209
3,64,120,4,4,4,1.882260
4,64,120,4,4,4,1.864568
5,64,120,4,4,4,1.864901
1,96,120,6,4,4,1.997802
2,96,120,6,4,4,1.984543
3,96,120,6,4,4,1.864906
4,96,120,6,4,4,1.880004
5,96,120,6,4,4,1.861877
1,32,240,4,4,2,13.416915
2,32,240,4,4,2,13.319443
3,32,240,4,4,2,13.424794
4,32,240,4,4,2,13.355635
5,32,240,4,4,2,14.751600
1,48,240,6,4,2,15.436508
2,48,240,6,4,2,15.218846
3,48,240,6,4,2,15.270475
4,48,240,6,4,2,15.167891
5,48,240,6,4,2,15.194585
1,64,240,4,4,4,16.403254
2,64,240,4,4,4,15.301900
3,64,240,4,4,4,15.482065
4,64,240,4,4,4,15.468757
5,64,240,4,4,4,15.435445
1,96,240,6,4,4,15.417060
2,96,240,6,4,4,15.338489
3,96,240,6,4,4,16.421851
4,96,240,6,4,4,16.558301
5,96,240,6,4,4,16.376554
